87744,1878,50526
89396,1686,49068
90884,1559,47718
92304,1451,46405
93830,1306,45024
95358,1177,43624
96870,1087,42205
98286,956,40923
99686,891,39591
101039,837,38287
102312,768,37076
103556,687,35915
104850,700,34608
105998,671,33491
107164,642,32359
108327,584,31243
109415,572,30161
110435,554,29160
111423,535,28196
112417,512,27224
113343,506,26308
114175,502,25468
114989,488,24669
115802,500,23846
116575,527,23046
117351,498,22300
118100,485,21569
118818,476,20868
119485,478,20205
120094,476,19593
120696,485,18985
121269,491,18403
121812,508,17845
122308,535,17327
122749,560,16862
123198,621,16346
123601,649,15914
123978,685,15501
124350,697,15118
124654,752,14760
124933,820,14414
125157,859,14155
125361,928,13880
125537,1009,13619
125603,1070,13496
125693,1167,13312
125744,1200,13226
125750,1281,13138
125705,1407,13050
125592,1569,13000
125425,1733,12997
125259,1890,13002
125002,2066,13095
124682,2209,13275
124215,2485,13468
123616,2764,13791
122941,3069,14169
122195,3394,14595
121298,3710,15176
120377,4014,15799
119300,4380,16516
118052,4827,17324
116604,5338,18258
115046,5856,19294
113429,6236,20523
111814,6551,21823
110042,7002,23143
108273,7409,24506
106391,7752,26045
104441,8127,27619
102538,8428,29218
100679,8639,30867
98925,8765,32497
97238,8931,34012
95487,9072,35621
93879,9023,37280
92534,8819,38832
91437,8513,40232
90405,8231,41542
89644,7958,42583
88959,7553,43677
88497,7269,44424
88144,6912,45131
87999,6673,45517
87901,6282,46009
88060,5915,46229
88405,5522,46284
88684,5280,46252
89216,4780,46225
89703,4512,46008
90278,4271,45676
90854,4012,45358
91610,3773,44837
92342,3595,44284
93087,3375,43755
93924,3196,43096
94734,3083,42399
95552,2922,41750
96377,2698,41149
97224,2655,40343
98040,2627,39561
98836,2563,38830
99667,2465,38099
100471,2386,37375
101272,2343,36613
102007,2276,35941
102735,2234,35255
103488,2144,34591
104170,2115,33939
104862,2068,33293
105574,2047,32606
106298,2025,31905
106935,1994,31300
107512,1997,30714
108055,1975,30190
108695,1983,29543
109221,2024,28976
109771,1992,28455
110259,2049,27906
110781,2025,27408
111097,2104,27012
111517,2115,26578
111868,2210,26131
112129,2201,25869
112415,2202,25577
112662,2211,25326
112860,2337,25000
113060,2366,24772
113235,2412,24546
113285,2583,24325
113322,2680,24189
113246,2779,24168
113119,2889,24182
113103,2878,24209
113046,2941,24200
112871,3086,24233
112677,3184,24329
112533,3251,24408
112197,3406,24580
111959,3496,24731
111685,3697,24802
111321,3884,24979
110814,4084,25282
110301,4278,25598
109749,4485,25945
109095,4570,26510
108449,4782,26944
107844,4967,27363
107208,5006,27967
106526,5121,28542
105881,5173,29137
105177,5322,29695
104555,5383,30254
103905,5376,30911
103259,5427,31508
102749,5470,31978
102230,5473,32494
101703,5399,33089
101185,5421,33582
100764,5326,34093
100399,5241,34542
100124,5160,34895
99759,5187,35230
99592,5072,35511
99437,4977,35756
99268,5013,35892
99036,4890,36246
98952,4826,36388
98884,4726,36549
98797,4666,36701
98812,4623,36729
98893,4521,36754
99061,4443,36668
99203,4325,36647
99268,4224,36679
99467,4047,36651
99725,3952,36488
99955,3879,36336
100114,3934,36123
100381,3867,35926
100514,3881,35780
100612,3888,35672
100745,3865,35556
100923,3789,35448
101130,3774,35247
101315,3769,35066
101522,3745,34886
101693,3744,34714
101887,3637,34622
102143,3555,34440
102377,3520,34245
102602,3458,34081
102836,3435,33872
103025,3491,33629
103288,3387,33465
103553,3361,33223
103700,3419,33025
103938,3414,32795
104088,3393,32658
104197,3439,32498
104182,3545,32411
104303,3545,32302
104337,3571,32244
104389,3571,32194
104436,3621,32093
104475,3633,32033
104551,3631,31964
104523,3661,31961
104520,3671,31947
104519,3707,31910
104505,3706,31924
104601,3676,31855
104732,3548,31857
104757,3618,31760
104821,3563,31755
104816,3658,31666
104799,3661,31678
104846,3688,31605
104836,3651,31651
104781,3660,31697
104782,3669,31688
104853,3650,31645
104858,3649,31638
104910,3693,31544
104909,3730,31501
104878,3741,31527
104871,3802,31478
104893,3782,31474
104911,3752,31488
104839,3815,31504
104917,3752,31493
104952,3835,31377
104929,3817,31418
104883,3869,31413
104854,3863,31450
104788,3943,31437
104816,3919,31432
104748,3980,31438
104601,4020,31539
104439,4002,31718
104321,4113,31728
