vid,birth,death,parentid,level,bindingAvidIni,bindingAvid,infection_no,distance_to_parent,distance_to_root, immK
7602,-10,-4,7458,1,0.8,0.8,0,0.0230278,0.0230278,0
7603,-10,-8,7542,1,0.8,0.8,0,0,0,0
7604,-10,-8,7478,1,0.8,0.8,0,0,0,0
7605,-10,-9,7544,1,0.8,0.8,0,0,0,0
7606,-10,-9,7492,1,0.8,0.8,0,0,0,0
7607,-10,-8,7520,1,0.8,0.8,0,0,0,0
7608,-10,-9,7496,1,0.8,0.8,0,0,0,0
7609,-10,-3,7500,1,0.8,0.8,0,0.0214159,0.0214159,0
7610,-10,-7,7506,1,0.8,0.8,0,0.00951169,0.00951169,0
7611,-10,-8,7503,1,0.8,0.8,0,0.00413827,0.00413827,0
7612,-10,-5,7542,1,0.8,0.8,0,0,0,0
7613,-10,-9,7484,1,0.8,0.8,0,0,0,0
7614,-10,-8,7546,1,0.8,0.8,0,0,0,0
7615,-10,-8,7454,1,0.8,0.8,0,0,0,0
7616,-9,-7,7556,2,0.8,0.8,0,0,0,0
7617,-9,-11,7588,2,0.8,0.8,0,0.00186007,0.00186007,0
7618,-9,-6,7479,1,0.8,0.8,0,0,0,0
7619,-9,-6,7615,2,0.8,0.8,0,0.0817574,0.0817574,0
7620,-9,-8,7595,2,0.8,0.8,0,0,0,0
7621,-9,-8,7608,2,0.8,0.8,0,0,0,0
7622,-9,-7,7613,2,0.8,0.8,0,0.0443183,0.0443183,0
7623,-9,-8,7612,2,0.8,0.8,0,0,0,0
7624,-9,-7,7574,2,0.8,0.8,0,0,0,0
7625,-9,-2,7592,2,0.8,0.8,0,0.036034,0.036034,0
7626,-9,-8,7559,2,0.8,0.8,0,0,0,0
7627,-9,-8,7480,1,0.8,0.8,0,0.0308312,0.0308312,0
7628,-9,-8,7572,2,0.8,0.8,0,0,0,0
7629,-9,-7,7587,2,0.8,0.8,0,0,0,0
7630,-9,-6,7550,1,0.8,0.8,0,0,0,0
7631,-9,-5,7559,2,0.8,0.8,0,0,0,0
7632,-9,-8,7493,1,0.8,0.8,0,0.00667699,0.00667699,0
7633,-9,-6,7551,1,0.8,0.8,0,0,0,0
7634,-9,-8,7521,1,0.8,0.8,0,0,0,0
7635,-9,-8,7613,2,0.8,0.8,0,0,0,0
7636,-9,-5,7566,2,0.8,0.8,0,0.0101324,0.0101324,0
7637,-9,-3,7562,2,0.8,0.8,0,0.00778158,0.00778158,0
7638,-9,-6,7578,2,0.8,0.8,0,0,0.00586638,0
7639,-9,-6,7502,1,0.8,0.8,0,0,0,0
7640,-9,-5,7478,1,0.8,0.8,0,0,0,0
7641,-9,-8,7473,1,0.8,0.8,0,0,0,0
7642,-9,-8,7595,2,0.8,0.8,0,0,0,0
7643,-9,-4,7524,1,0.8,0.8,0,0,0,0
7644,-9,-6,7608,2,0.8,0.8,0,0,0,0
7645,-9,-3,7533,1,0.8,0.8,0,0,0,0
7646,-9,-7,7589,2,0.8,0.8,0,0,0,0
7647,-9,-8,7585,2,0.8,0.8,0,0,0,0
7648,-9,-6,7480,1,0.8,0.8,0,0,0,0
7649,-9,-6,7561,2,0.8,0.8,0,0,0,0
7650,-9,-7,7566,2,0.8,0.8,0,0,0,0
7651,-9,-6,7498,1,0.8,0.8,0,0.0302353,0.0302353,0
7652,-9,-7,7461,1,0.8,0.8,0,0,0,0
7653,-9,-8,7555,2,0.8,0.8,0,0,0,0
7654,-9,-4,7549,1,0.8,0.8,0,0.0266834,0.0266834,0
7655,-9,-3,7568,2,0.8,0.8,0,0.0323558,0.0323558,0
7656,-9,-5,7453,1,0.8,0.8,0,0.0213689,0.0213689,0
7657,-9,-3,7556,2,0.8,0.8,0,0,0,0
7658,-9,-7,7473,1,0.8,0.8,0,0,0,0
7659,-9,-3,7611,2,0.8,0.8,0,0,0.00413827,0
7660,-9,-2,7526,1,0.8,0.8,0,0,0,0
7661,-9,-6,7592,2,0.8,0.8,0,0,0,0
7662,-9,-8,7610,2,0.8,0.8,0,0,0,0
7663,-9,-8,7600,2,0.8,0.8,0,0,0,0
